Medicion;Tiempo_Segundos
1;0.027000
2;0.025000
3;0.024000
4;0.023000
5;0.025000
6;0.024000
7;0.025000
8;0.023000
9;0.023000
10;0.025000
11;0.024000
12;0.023000
13;0.024000
14;0.023000
15;0.026000
16;0.023000
17;0.023000
18;0.024000
19;0.023000
20;0.022000
21;0.025000
22;0.024000
23;0.023000
24;0.023000
25;0.023000
26;0.023000
27;0.022000
28;0.024000
29;0.023000
30;0.024000
31;0.023000
32;0.023000
33;0.023000
34;0.023000
35;0.023000
36;0.022000
37;0.022000
38;0.023000
39;0.022000
40;0.026000
41;0.026000
42;0.023000
43;0.024000
44;0.023000
45;0.024000
46;0.027000
47;0.025000
48;0.024000
49;0.023000
50;0.024000
51;0.025000
52;0.023000
53;0.024000
54;0.024000
55;0.025000
56;0.025000
57;0.025000
58;0.023000
59;0.023000
60;0.024000
61;0.023000
62;0.023000
63;0.023000
64;0.024000
65;0.024000
66;0.023000
67;0.024000
68;0.023000
69;0.024000
70;0.022000
71;0.024000
72;0.024000
73;0.026000
74;0.023000
75;0.025000
76;0.025000
77;0.025000
78;0.025000
79;0.023000
80;0.025000
81;0.025000
82;0.024000
83;0.025000
84;0.023000
85;0.024000
86;0.023000
87;0.023000
88;0.023000
89;0.023000
90;0.024000
91;0.023000
92;0.025000
93;0.025000
94;0.023000
95;0.024000
96;0.022000
97;0.023000
98;0.023000
99;0.024000
100;0.024000
