Ejecucion,Tiempo_Segundos
1,0.016000032
2,0.014000177
3,0.013999939
4,0.013000011
5,0.013000011
6,0.013999939
7,0.013000011
8,0.013999939
9,0.019999981
10,0.014000177
11,0.013999939
12,0.016000032
13,0.013999939
14,0.013000011
15,0.012000084
16,0.012999773
17,0.013000011
18,0.013000011
19,0.014000177
20,0.013000011
21,0.013000011
22,0.012999773
23,0.012000084
24,0.012000084
25,0.013000011
26,0.011999846
27,0.014000177
28,0.011999846
29,0.013000011
30,0.013000011
31,0.013000011
32,0.013000011
33,0.013000011
34,0.013000011
35,0.013000011
36,0.012000084
37,0.013000011
38,0.011999846
39,0.013000011
40,0.014000177
41,0.013999939
42,0.019999981
43,0.013000011
44,0.012000084
45,0.013000011
46,0.011999846
47,0.011999846
48,0.013000011
49,0.013000011
50,0.013000011
51,0.013000011
52,0.012000084
53,0.013000011
54,0.011999846
55,0.013000011
56,0.012000084
57,0.013000011
58,0.013000011
59,0.013000011
60,0.013000011
61,0.012000084
62,0.011999846
63,0.013000011
64,0.012000084
65,0.011999846
66,0.013000011
67,0.012000084
68,0.012000084
69,0.011999846
70,0.011999846
71,0.012000084
72,0.012000084
73,0.012000084
74,0.013000011
75,0.012999773
76,0.012000084
77,0.012000084
78,0.013000011
79,0.011999846
80,0.012000084
81,0.012000084
82,0.013000011
83,0.013000011
84,0.012000084
85,0.011999846
86,0.012000084
87,0.013000011
88,0.012000084
89,0.013999939
90,0.012000084
91,0.012000084
92,0.013000011
93,0.011999846
94,0.012000084
95,0.013000011
96,0.013000011
97,0.012000084
98,0.013000011
99,0.011999846
100,0.012000084
