Medicion;Tiempo_Segundos
1;0.029000
2;0.025000
3;0.024000
4;0.026000
5;0.027000
6;0.027000
7;0.024000
8;0.024000
9;0.025000
10;0.026000
11;0.024000
12;0.028000
13;0.024000
14;0.025000
15;0.024000
16;0.024000
17;0.024000
18;0.025000
19;0.023000
20;0.025000
21;0.026000
22;0.024000
23;0.027000
24;0.024000
25;0.026000
26;0.025000
27;0.025000
28;0.024000
29;0.025000
30;0.028000
31;0.026000
32;0.025000
33;0.026000
34;0.025000
35;0.026000
36;0.025000
37;0.027000
38;0.025000
39;0.025000
40;0.029000
41;0.024000
42;0.026000
43;0.024000
44;0.024000
45;0.023000
46;0.023000
47;0.024000
48;0.025000
49;0.025000
50;0.023000
51;0.023000
52;0.024000
53;0.024000
54;0.025000
55;0.024000
56;0.025000
57;0.024000
58;0.025000
59;0.024000
60;0.024000
61;0.026000
62;0.024000
63;0.024000
64;0.033000
65;0.025000
66;0.024000
67;0.024000
68;0.023000
69;0.025000
70;0.030000
71;0.036000
72;0.037000
73;0.023000
74;0.024000
75;0.027000
76;0.026000
77;0.023000
78;0.033000
79;0.024000
80;0.030000
81;0.025000
82;0.026000
83;0.024000
84;0.026000
85;0.023000
86;0.026000
87;0.027000
88;0.022000
89;0.026000
90;0.023000
91;0.024000
92;0.023000
93;0.022000
94;0.022000
95;0.023000
96;0.025000
97;0.023000
98;0.025000
99;0.026000
100;0.025000
